,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
39,k,-2.0,-2.0,1,0,19.489306849860206,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01679757291809736,False,0
40,k,-2.0,-2.0,1,0,19.505860319713477,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016559623712051774,False,0
41,k,-2.0,-2.0,1,0,19.52247737944078,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01664372644866674,False,0
42,k,-2.0,-2.0,1,0,19.53935577303748,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01686936793716498,False,0
43,k,-2.0,-2.0,1,0,19.556109858686888,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016703213750183465,False,0
44,k,-2.0,-2.0,1,0,19.572684251660004,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01661705972730232,False,0
45,k,-2.0,-2.0,1,0,19.589260285662125,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01659982892272538,False,0
46,k,-2.0,-2.0,1,0,19.605933550632923,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016671213684542607,False,0
47,k,-2.0,-2.0,1,0,19.622582200168615,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016655623908970796,False,0
48,k,-2.0,-2.0,1,0,19.63923618304858,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016653162365461327,False,0
49,k,-2.0,-2.0,1,0,19.655887294127783,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016652341850956986,False,0
50,k,-2.0,-2.0,1,0,19.672651636208485,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016765983109710447,False,0
51,k,-2.0,-2.0,1,0,19.689226029181597,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165735724586078,False,0
52,k,-2.0,-2.0,1,0,19.70576596054556,-1,0.0,0.1320503205060959,0.0,0.0,0.0,0.0,0.0,0.1320503221545266,0.016506290269315826,False,0
53,k,-2.0,-2.0,1,0,19.722592661728537,-1,0.0,0.2666606307029724,0.0,0.0,0.0,0.0,0.0,0.13461032740579526,0.016826290925724408,False,0
