,ppid,heading,cameraoffset,width,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
38,k,-1.5,0,0.15,0,5.223320021891264,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01661660175048052,False,0
39,k,-1.5,0,0.15,0,5.239813957075728,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016687986307292846,False,0
40,k,-1.5,0,0.15,0,5.2563107640527065,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016572704350601875,False,0
41,k,-1.5,0,0.15,0,5.2732588527106845,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016724909353920125,False,0
42,k,-1.5,0,0.15,0,5.289794634014659,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016623165847659216,False,0
43,k,-1.5,0,0.15,0,5.306314825587835,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016655576077476475,False,0
44,k,-1.5,0,0.15,0,5.322960965775618,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01664285813919264,False,0
45,k,-1.5,0,0.15,0,5.33973797765089,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01669003758766152,False,0
46,k,-1.5,0,0.15,0,5.356516630550457,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016706037574533816,False,0
47,k,-1.5,0,0.15,0,5.372969950383631,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016608396629007594,False,0
48,k,-1.5,0,0.15,0,5.390017731267503,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01693619123184309,False,0
49,k,-1.5,0,0.15,0,5.4062651025517106,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016373319898814742,False,0
50,k,-1.5,0,0.15,0,5.423021191367227,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016527165926427223,False,0
51,k,-1.5,0,0.15,0,5.43965830592139,-5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016830345164845717,False,0
52,k,-1.5,0,0.15,0,5.45644065112562,-5,0.0,0.1334054321050644,0.0,0.0,0.0,0.0,0.0,0.13340542900066765,0.016675678625083457,False,0
53,k,-1.5,0,0.15,0,5.4730108939397795,-5,0.0,0.2663513720035553,0.0,0.0,0.0,0.0,0.0,0.1329459421982051,0.016618242774775638,False,0
54,k,-1.5,0,0.15,0,5.489671803346212,-5,0.0,0.39963865280151367,0.0,0.0,0.0,0.0,0.0,0.13328727525146888,0.01666090940643361,False,0
