,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
39,k,-1.0,0,0,0,3.620120927080265,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016719576024963434,False,0
40,k,-1.0,0,0,0,3.6367982467296436,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016646960699929547,False,0
41,k,-1.0,0,0,0,3.653427566418407,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01667896067367325,False,0
42,k,-1.0,0,0,0,3.6700892963369878,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016656806845697147,False,0
43,k,-1.0,0,0,0,3.6867054878313947,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016628909432689465,False,0
44,k,-1.0,0,0,0,3.7034242433442106,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01665106326066601,False,0
45,k,-1.0,0,0,0,3.720133562967333,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016746242669749556,False,0
46,k,-1.0,0,0,0,3.7368449338708234,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01664162737097241,False,0
47,k,-1.0,0,0,0,3.7533380485431396,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016597729971093322,False,0
48,k,-1.0,0,0,0,3.770018239985034,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666652991464304,False,0
49,k,-1.0,0,0,0,3.7866717647821417,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016670755552200767,False,0
50,k,-1.0,0,0,0,3.803435238206984,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016702755525944024,False,0
51,k,-1.0,0,0,0,3.820009993837954,2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01662603764017412,False,0
52,k,-1.0,0,0,0,3.83672874935077,2,0.0,0.1332971155643463,0.0,0.0,0.0,0.0,0.0,0.13329712139723426,0.016662140174654283,False,0
53,k,-1.0,0,0,0,3.85340853053659,2,0.0,0.2669224441051483,0.0,0.0,0.0,0.0,0.0,0.1336253262561442,0.016703165782018026,False,0
54,k,-1.0,0,0,0,3.870075593784128,2,0.0,0.3999832570552826,0.0,0.0,0.0,0.0,0.0,0.13306081389881896,0.01663260173735237,False,0
55,k,-1.0,0,0,0,3.8869461440441895,2,0.0,0.5335954427719116,0.0,0.0,0.0,0.0,0.0,0.1336121980617868,0.01670152475772335,False,0
56,k,-1.0,0,0,0,3.90377484818474,2,0.0,0.6691374778747559,0.0,0.0,0.0,0.0,0.0,0.13554204263217073,0.016942755329021342,False,0
57,k,-1.0,0,0,0,3.919982834885879,2,0.0,0.7996711134910583,0.0,0.0,0.0,0.0,0.0,0.13053363648522165,0.016316704560652706,False,0
58,k,-1.0,0,0,0,3.936673692985688,2,0.0,0.9330962300300598,0.0,0.0,0.0,0.0,0.0,0.13342512129220552,0.01667814016152569,False,0
59,k,-1.0,0,0,0,3.953317781893102,2,0.0,1.0662161111831665,0.0,0.0,0.0,0.0,0.0,0.13311989077342545,0.01663998634667818,False,0
